time,latitude,longitude,sstMasked
UTC,degrees_north,degrees_east,degree_C
2022-06-05T12:00:00Z,51.52083,-65.35416,NaN
2022-06-05T12:00:00Z,51.52083,-65.31249,NaN
2022-06-05T12:00:00Z,51.52083,-65.27083,NaN
2022-06-05T12:00:00Z,51.52083,-65.22916,NaN
2022-06-05T12:00:00Z,51.52083,-65.18749,NaN
2022-06-05T12:00:00Z,51.52083,-65.14583,NaN
2022-06-05T12:00:00Z,51.52083,-65.10416,NaN
2022-06-05T12:00:00Z,51.52083,-65.06249,NaN
2022-06-05T12:00:00Z,51.52083,-65.02083,NaN
2022-06-05T12:00:00Z,51.52083,-64.97916,NaN
2022-06-05T12:00:00Z,51.52083,-64.93749,NaN
2022-06-05T12:00:00Z,51.52083,-64.89583,NaN
2022-06-05T12:00:00Z,51.52083,-64.85416,NaN
2022-06-05T12:00:00Z,51.52083,-64.81249,NaN
2022-06-05T12:00:00Z,51.52083,-64.77083,NaN
2022-06-05T12:00:00Z,51.52083,-64.72916,NaN
2022-06-05T12:00:00Z,51.52083,-64.68749,NaN
2022-06-05T12:00:00Z,51.52083,-64.64583,NaN
2022-06-05T12:00:00Z,51.52083,-64.60416,NaN
2022-06-05T12:00:00Z,51.52083,-64.56249,NaN
2022-06-05T12:00:00Z,51.52083,-64.52083,NaN
2022-06-05T12:00:00Z,51.52083,-64.47916,NaN
2022-06-05T12:00:00Z,51.52083,-64.43749,NaN
2022-06-05T12:00:00Z,51.52083,-64.39583,NaN
2022-06-05T12:00:00Z,51.52083,-64.35416,NaN
2022-06-05T12:00:00Z,51.52083,-64.31249,NaN
2022-06-05T12:00:00Z,51.52083,-64.27083,NaN
2022-06-05T12:00:00Z,51.52083,-64.22916,NaN
2022-06-05T12:00:00Z,51.52083,-64.18749,NaN
2022-06-05T12:00:00Z,51.52083,-64.14583,NaN
2022-06-05T12:00:00Z,51.52083,-64.10416,NaN
2022-06-05T12:00:00Z,51.52083,-64.06249,NaN
2022-06-05T12:00:00Z,51.52083,-64.02083,NaN
2022-06-05T12:00:00Z,51.52083,-63.97917,NaN
2022-06-05T12:00:00Z,51.52083,-63.9375,NaN
2022-06-05T12:00:00Z,51.52083,-63.89583,NaN
2022-06-05T12:00:00Z,51.52083,-63.85417,NaN
2022-06-05T12:00:00Z,51.52083,-63.8125,NaN
2022-06-05T12:00:00Z,51.52083,-63.77083,NaN
2022-06-05T12:00:00Z,51.52083,-63.72917,NaN
2022-06-05T12:00:00Z,51.52083,-63.6875,NaN
2022-06-05T12:00:00Z,51.52083,-63.64583,NaN
2022-06-05T12:00:00Z,51.52083,-63.60417,NaN
2022-06-05T12:00:00Z,51.52083,-63.5625,NaN
2022-06-05T12:00:00Z,51.52083,-63.52083,NaN
2022-06-05T12:00:00Z,51.52083,-63.47917,NaN
2022-06-05T12:00:00Z,51.52083,-63.4375,NaN
2022-06-05T12:00:00Z,51.52083,-63.39583,NaN
2022-06-05T12:00:00Z,51.52083,-63.35417,NaN
2022-06-05T12:00:00Z,51.52083,-63.3125,NaN
2022-06-05T12:00:00Z,51.52083,-63.27083,NaN
2022-06-05T12:00:00Z,51.52083,-63.22917,NaN
2022-06-05T12:00:00Z,51.52083,-63.1875,NaN
2022-06-05T12:00:00Z,51.52083,-63.14583,NaN
2022-06-05T12:00:00Z,51.52083,-63.10417,NaN
2022-06-05T12:00:00Z,51.52083,-63.0625,NaN
2022-06-05T12:00:00Z,51.52083,-63.02083,NaN
2022-06-05T12:00:00Z,51.52083,-62.97917,NaN
2022-06-05T12:00:00Z,51.52083,-62.9375,NaN
2022-06-05T12:00:00Z,51.52083,-62.89583,NaN
2022-06-05T12:00:00Z,51.52083,-62.85417,NaN
2022-06-05T12:00:00Z,51.52083,-62.8125,NaN
2022-06-05T12:00:00Z,51.52083,-62.77083,NaN
2022-06-05T12:00:00Z,51.52083,-62.72917,NaN
2022-06-05T12:00:00Z,51.52083,-62.6875,NaN
2022-06-05T12:00:00Z,51.52083,-62.64583,NaN
2022-06-05T12:00:00Z,51.52083,-62.60417,NaN
2022-06-05T12:00:00Z,51.52083,-62.5625,NaN
2022-06-05T12:00:00Z,51.52083,-62.52083,NaN
2022-06-05T12:00:00Z,51.52083,-62.47917,NaN
2022-06-05T12:00:00Z,51.52083,-62.4375,NaN
2022-06-05T12:00:00Z,51.52083,-62.39583,NaN
2022-06-05T12:00:00Z,51.52083,-62.35417,NaN
2022-06-05T12:00:00Z,51.52083,-62.3125,NaN
2022-06-05T12:00:00Z,51.52083,-62.27083,NaN
2022-06-05T12:00:00Z,51.52083,-62.22917,NaN
2022-06-05T12:00:00Z,51.52083,-62.1875,NaN
2022-06-05T12:00:00Z,51.52083,-62.14583,NaN
2022-06-05T12:00:00Z,51.52083,-62.10417,NaN
2022-06-05T12:00:00Z,51.52083,-62.0625,NaN
2022-06-05T12:00:00Z,51.52083,-62.02083,NaN
2022-06-05T12:00:00Z,51.52083,-61.97917,NaN
2022-06-05T12:00:00Z,51.52083,-61.9375,NaN
2022-06-05T12:00:00Z,51.52083,-61.89583,NaN
2022-06-05T12:00:00Z,51.52083,-61.85417,NaN
2022-06-05T12:00:00Z,51.52083,-61.8125,NaN
2022-06-05T12:00:00Z,51.52083,-61.77083,NaN
2022-06-05T12:00:00Z,51.52083,-61.72917,NaN
2022-06-05T12:00:00Z,51.52083,-61.6875,NaN
2022-06-05T12:00:00Z,51.52083,-61.64583,NaN
2022-06-05T12:00:00Z,51.52083,-61.60417,NaN
2022-06-05T12:00:00Z,51.52083,-61.5625,NaN
2022-06-05T12:00:00Z,51.52083,-61.52083,NaN
2022-06-05T12:00:00Z,51.52083,-61.47917,NaN
2022-06-05T12:00:00Z,51.52083,-61.4375,NaN
2022-06-05T12:00:00Z,51.52083,-61.39583,NaN
2022-06-05T12:00:00Z,51.52083,-61.35417,NaN
2022-06-05T12:00:00Z,51.52083,-61.3125,NaN
2022-06-05T12:00:00Z,51.52083,-61.27083,NaN
2022-06-05T12:00:00Z,51.52083,-61.22917,NaN
2022-06-05T12:00:00Z,51.52083,-61.1875,NaN
2022-06-05T12:00:00Z,51.52083,-61.14583,NaN
2022-06-05T12:00:00Z,51.52083,-61.10417,NaN
2022-06-05T12:00:00Z,51.52083,-61.0625,NaN
2022-06-05T12:00:00Z,51.52083,-61.02083,NaN
2022-06-05T12:00:00Z,51.52083,-60.97917,NaN
2022-06-05T12:00:00Z,51.52083,-60.9375,NaN
2022-06-05T12:00:00Z,51.52083,-60.89583,NaN
2022-06-05T12:00:00Z,51.52083,-60.85417,NaN
2022-06-05T12:00:00Z,51.52083,-60.8125,NaN
2022-06-05T12:00:00Z,51.52083,-60.77083,NaN
2022-06-05T12:00:00Z,51.52083,-60.72917,NaN
2022-06-05T12:00:00Z,51.52083,-60.6875,NaN
2022-06-05T12:00:00Z,51.52083,-60.64583,NaN
2022-06-05T12:00:00Z,51.52083,-60.60417,NaN
2022-06-05T12:00:00Z,51.52083,-60.5625,NaN
2022-06-05T12:00:00Z,51.52083,-60.52083,NaN
2022-06-05T12:00:00Z,51.52083,-60.47917,NaN
2022-06-05T12:00:00Z,51.52083,-60.4375,NaN
2022-06-05T12:00:00Z,51.52083,-60.39583,NaN
