id,latitude,longitude,count
116800,36.8,-122,1
5553,33.43,-117.7,1
129785,36.636421,-121.876081,1
101148,36.636421,-121.876081,1
53367,36.636421,-121.876081,1
22894,36.636421,-121.876081,1
32598,36.65833,-121.925942,1
64509,58.7,-135.1,1
40918,58.7,-135.1,1
22266,58.7,-135.1,1
132753,36.66687,-121.984119,1
105313,36.8,-122,1
38256,36.8,-122,1
49610,48.413456,-122.952656,1
114376,36.8,-122,1
75549,36.8,-122,1
41436,36.8,-122,1
106087,36.809285,-122.038843,1
63244,36.809285,-122.038843,1
27630,36.809285,-122.038843,1
13244,36.809285,-122.038843,1
116,36.809285,-122.038843,1
63297,36.8,-122,1
145266,57.113789,-133.851356,1
134005,57.113789,-133.851356,1
134004,57.113789,-133.851356,1
132738,57.113789,-133.851356,1
107598,57.113789,-133.851356,1
86925,57.113789,-133.851356,1
80717,57.113789,-133.851356,1
79647,57.113789,-133.851356,1
71845,57.113789,-133.851356,1
55913,57.113789,-133.851356,1
44992,57.113789,-133.851356,1
40409,57.113789,-133.851356,1
31391,57.113789,-133.851356,1
23317,57.113789,-133.851356,1
18805,57.113789,-133.851356,1
16528,57.113789,-133.851356,1
7426,57.113789,-133.851356,1
5883,57.113789,-133.851356,1
2303,57.113789,-133.851356,1
53141,58.34,-134.72,1
139710,36.744864,-121.868548,1
19073,36.744864,-121.868548,1
92853,53.1499,171.0695,1
64469,36.652996,-121.995606,1
16793,59.6,-149.6,1
79771,36.8,-122,1
134129,36.8,-121.85,1
49737,36.8,-121.85,1
64456,36.8,-122,1
42791,36.8,-122,1
37103,36.8,-122,1
42624,36.8,-122,1
34666,36.8,-122,1
124603,36.8,-121.85,1
13707,36.8,-121.85,1
71269,36.8,-122,1
113027,36.8,-122,1
68370,36.8,-122,1
129647,36.8,-122,1
99371,33.3341,-117.666283,1
142595,22.868109,-109.913235,1
81983,22.868109,-109.913235,1
56499,33.517517,-118.088385,1
16730,33.517517,-118.088385,1
128023,36.8,-122,1
118339,36.8,-122,1
85248,36.8,-122,1
7194,36.8,-122,1
91638,36.8,-122,1
59814,36.8,-122,1
56917,36.8,-122,1
30233,36.8,-122,1
5235,36.8,-122,1
50579,64.643917,-172.591095,1
108931,36.8,-122,1
17191,58.37,-134.67,1
32566,48.35,-123.4,1
16093,36.8,-122,1
55213,36.8,-122,1
54635,36.8,-122,1
30353,36.8,-122,1
66481,36.8,-122,1
121403,36.8,-122,1
125001,37.688711,-123.32634,1
136465,36.796667,-122.113333,1
126378,36.796667,-122.113333,1
64603,36.796667,-122.113333,1
95440,36.736833,-122.0145,1
65267,36.736833,-122.0145,1
53273,36.736833,-122.0145,1
100213,36.8,-122,1
2934,33.55,-117.9,1
55962,36.8,-122,1
90259,36.806,-122.134167,1
71382,36.806,-122.134167,1
42896,36.806,-122.134167,1
27050,36.806,-122.134167,1
19168,36.806,-122.134167,1
53698,36.8,-122,1
8671,36.8,-122,1
143971,36.8,-121.85,1
109361,36.8,-121.85,1
92854,36.8,-121.85,1
40010,36.8,-121.85,1
97504,37.714972,-123.092472,1
86444,37.714972,-123.092472,1
67854,37.714972,-123.092472,1
128197,36.8,-122,1
103088,36.8,-122,1
94708,36.8,-122,1
144817,50.629,-126.809833,1
67396,36.8,-122,1
27862,36.8,-122,1
52909,33.731992,-118.506775,1
52908,33.677554,-118.35022,1
110860,33.548422,-118.228079,1
110713,36.8,-122,1
109794,36.8,-122,1
38286,36.8,-122,1
34653,36.8,-122,1
108586,25.81795,-111.278492,1
144327,33.6948,-118.4023,1
23524,37.65,-123,1
112998,36.8,-122,1
94244,36.8,-122,1
57691,33.43,-117.7,1
37274,48.35,-123.4,1
22927,48.35,-123.4,1
6528,48.35,-123.4,1
82699,34.1709,-119.7427,1
113399,37.5,-122.9,1
104343,37.5,-122.9,1
